in
veseli
kraljevo
ustvaril
dobrega
ovna
odgovore
kliče
imamo
priča
postali
prosi
spomin
kadilo
traja
grehe
vere
pravičnega
odidejo
abrahamu
trije
obljubil
prosil
jamo
zbero
otel
dasi
meje
množice
verovali
pazi
praznik
kroginkrog
veš
višave
vrati
ulicah
zveličanje
spoznal
petsto
pravičen
potih
severu
mogočnega
sovražnike
ljudstev
odondod
docela
duri
knez
pili
godi
vidim
nanje
treh
bojte
stiske
bodete
nečist
podobe
dediščina
daniel
evangelij
znamenja
ovac
ukaže
možem
tistem
gospodarja
leži
kdaj
brati
takole
načelniku
katerimi
duši
pokoj
levitov
podoben
slišijo
bogastvo
savlu
godbe
resnice
vojska
brona
reč
ugleda
naša
ognju
vstal
krvjo
bolje
spoznate
duhovnike
grešili
kraljevi
izročil
narodom
judo
absalom
templju
katera
sestra
tristo
jutra
morda
nebu
zelo
spoznali
njima
zame
ramo
moli
sedi
zbere
pravico
poglej
ravnal
pričevanje
jedo
zapustili
imate
ognja
molili
jutri
večera
pravdo
poravnavo
čisto
obljube
skrbi
proroki
iskali
močjo
babilonski
prorokov
kraljestvu
farizeji
bosta
mar
polna
nikoli
meja
njenega
teče
vpitje
zlo
zgodaj
hlapce
žen
legel
vemo
rečem
čist
pogani
nadnje
usmiljenje
nebukadnezar
tempelj
učenik
dobra
ptice
pokrajino
naredim
storila
govor
šlo
imenovali
štiristo
vanje
dana
pristopijo
poreče
današnjega
žrtev
vrhu
mladosti
vsled
pazite
celo
sovražnik
shodnega
veseljem
izraelovemu
josafat
pismo
jutro
videla
drevo
družina
ohrani
mesecu
blago
njive
tabor
hočete
sanje
vodil
nesreče
govorite
prikazen
izvrši
videč
samega
olje
čistega
duhovnikom
morejo
davidov
salomonu
pogleda
ladjo
vanjo
pove
ena
prikaže
šatore
moke
strežejo
storite
grešil
voljo
dom
dano
straži
kam
sprejme
grob
dene
efraim
prebivajo
množico
lev
postavili
mizo
judove
delati
začne
zgradil
resnico
sionu
jeremiju
jako
jej
vodá
vrh
zahodu
ravno
otrokom
enkrat
angela
tujec
molil
telesu
pripeljejo
svetišču
talentov
jagnjet
povelje
hoteli
uči
delaš
tal
vrnil
spričo
ogovori
morem
vsakem
last
ležal
zadene
dobil
rokah
prinesli
judi
onih
vzemite
jude
milo
bojeval
oblak
povzdignjenja
izpregovori
pogubo
dobre
jezi
pravite
oblasti
učencem
ladje
živine
rodovih
izpeljal
bele
dveh
amonovih
poklical
odpre
večji
povej
izpolni
spomni
postavim
nekdaj
krajih
vedeli
služabniki
delu
ravna
doklej
časih
pravice
bogov
shodni
zastran
gnusoba
levitom
hvalo
pozna
proroku
babilonskega
slavi
pismarji
sadu
živež
dvema
levo
povzdigne
pokonča
prideš
služil
ezav
vzamem
nečistosti
glavi
ene
naredili
poreko
vojski
knjigo
ljubijo
vašim
prebivališča
duhom
svetih
soboto
najprej
svetim
nimajo
odkod
močno
padli
padel
desnici
ljubljeni
vera
prejme
dobi
sedemdeset
junaki
blagoslov
semenu
vidiš
vrni
hrani
bal
pustil
dete
deček
mater
ljudmi
dolgo
les
odgovoril
nesreča
denarja
prejel
gleda
stopil
vrže
stiski
službi
govorila
služi
jejte
mano
vola
požre
vzdigne
veselja
manasejevega
prejeli
pogubi
obudil
hvalite
asa
samariji
lakota
amorejcev
govedi
zares
ono
obe
zate
umorili
posebe
tistemu
rečeta
gledal
pobil
godilo
take
odpusti
prsi
ustih
vsakdo
delam
zakon
izgine
pokaže
daruj
tolstino
gnusobe
novo
zbrali
brezbožnih
ravnali
poglavar
konj
ujetništvo
padejo
zid
davidov.
tema
one
posvetil
oba
jedi
bival
ščit
tujci
ozdravi
tukaj
koncu
žita
jarem
kamorkoli
položil
drobnice
vratom
ostani
domov
usmiljenja
šestdeset
nastane
učil
pač
tabora
veje
prijeten
darila
kaznoval
iskal
visoko
hodite
polno
nekatere
jordanu
savla
oznani
išče
iščejo
benaja
sion
elizej
poganov
svetloba
teme
odpravi
proklet
zidal
gorovju
abram
egipčani
puščave
moreš
dekle
izroči
lok
svetem
vašega
blaga
pošljejo
dovoli
modrega
deni
dajal
takrat
delajte
napravili
vidite
enak
vselej
sodba
zapovedujem
komu
nosili
kličejo
podoba
mrtev
vasi
kneze
poveljniki
gileadu
hoditi
judovo
petindvajset
proroke
pilat
iztegne
izide
egiptovsko
krivica
zdi
večna
hčeri
prisego
polje
nebeške
enem
ovnov
ledja
semena
pripeljali
tenčice
vozove
skoraj
grobu
poznam
gledajo
peruti
dvorišče
shodnem
junca
razumnost
vreden
zidu
delate
lice
hudobnosti
sezidal
zapustil
zavrgel
vprašajo
volje
sužnost
kraljevih
azarija
marija
dežja
reki
sedemkrat
pokrajini
sodi
dober
obljubo
levi
rešitev
recite
darujte
prvega
eni
delaj
mirovne
mrtvi
zlate
polože
žgalščine
nečisto
potoka
poslušati
levite
skrinja
zasliši
poznajo
usmili
pil
začetka
pšice
hvalil
vkup
moder
psalme
letopisov
zedekija
glavar
asirski
sprejeli
ničemurnost
angeli
nebom
zvezde
ubil
znotraj
dež
odkar
vzemo
pelje
dekla
izak
osla
dado
povzdignil
jakobov
ostrino
baal
kakšno
takega
besedami
resnica
sedeli
konje
našim
obrnil
vzamejo
nogah
kamenjem
čuj
kamenov
stebre
zanjo
kadila
pisal
videlo
modri
ostali
odvrne
kralje
oltarje
silo
močan
grad
radost
job
laž
aleluja
vedoč
prahu
jutru
drugem
živega
nista
vrnejo
nekoliko
gledali
govoré
hebron
najdejo
glasno
bogove
greš
porečeš
pogine
vojvode
vzdignil
pokazal
stopijo
izpod
služite
občine
preostane
poln
nosil
časti
nanjo
darujejo
veselo
svete
hvali
nikomur
dobili
sela
davidovem
kraljevega
jehu
brezbožni
cerkve
spozna
sedemsto
žal
pokončal
širjava
gresta
faraona
pravičnih
kirjat
rad
prinesel
jožefu
zapusti
živim
izraelci
nog
eleazar
véli
puščava
nosijo
oznanil
popolnoma
hočemo
venec
polovice
približa
nečistega
više
priče
praviš
jerihu
pravično
orožje
maliki
abner
davidovi
zberem
dejanja
satan
brezbožnik
prorokuj
simon
luči
nebeško
peti
spoznanja
mnoge
živo
gorá
rodove
vinograd
pije
deželah
ura
blagoslovljen
mladeniči
uslišal
zvečer
abrahama
izaku
določil
prinesi
odšel
kamenje
obeh
dajali
telesne
drugič
kriv
pridete
poznaš
desnico
sovražnikom
božjem
vpili
prideta
molite
stati
občina
sužnosti
odpravil
bolezni
kogar
delih
dolgost
jedilne
zboru
določeno
ostala
sovraži
nobeden
ljubite
nebeški
skrivaj
jeziku
boljši
rog
osramočeni
zgodbe
judom
izaija
vekov
veruje
učencev
pavla
drevesa
trnje
odslej
rodovi
zver
vašo
hvaljen
razdeli
zaveza
tele
postala
nama
prvenca
zraven
molči
lakote
sporoče
otročiči
daš
odprl
našemu
rešenje
egipčanov
posluša
prosili
štirih
zadnji
denejo
hibe
katerikoli
oblačilo
morete
želi
iščite
zvest
prebivalcem
skalo
utabore
poglejte
poglavarje
hvala
srcem
veselil
višavah
junakov
filistejce
nočem
jeroboam
josija
zapisano
boje
jeruzalemske
zaklade
pouk
začetku
drevje
dneva
vzhodni
hudobnost
začel
mogočen
pastirji
kanaanski
najvišjega
moški
naroda
isti
doma
hiti
klicali
zapre
abimelek
napolni
laban
hadad
služijo
čredo
čreda
žito
peljali
vozovi
boji
simej
čim
bivali
desni
osmi
trikrat
svetilnice
polovica
dvorišču
čelu
seklu
sleherni
sama
čisti
knjige
smeš
noben
tiče
seštetih
sulico
kličem
poslušajo
truplo
nadloge
skala
pogube
rokami
joas
hvalijo
otme
roboam
ahab
babilonu
semaja
ustne
janeza
vama
vrste
našla
imenovala
zgradi
žetev
duš
zagleda
goved
vrnili
trupla
pokopan
vrhutega
dečka
oddaleč
njivo
vprašal
volja
sestro
zagrinjalo
kraje
našem
pridobil
mestom
leže
posesti
vržejo
stiska
zgoraj
očeti
mleko
oblačil
čudeže
manj
list
edini
sobotni
noga
stebrov
obrni
srda
občino
greši
mirovno
vaseh
slišati
knezom
drži
očetovin
človeških
ponižal
prinašali
hočejo
strune
prorokujejo
sirci
salomona
absalomu
grehi
ahaz
asirskega
pekel
evangelija
četrti
sram
dala
pastir
koli
pokončam
semtertja
biva
rodili
pojdimo
leti
hebronu
kraljeva
izdal
naju
rami
prostora
prvenec
polja
slišala
zakolje
volov
žalost
bivajo
rojen
raztrga
judova
prijatelj
priprave
prinesite
benjaminovi
nosi
žalovanje
službe
vrgel
ostanejo
konji
mesecev
hiš
groza
starejšin
iztrebim
droga
vrvi
sramote
pitne
ognjeno
urija
sobote
plošči
žrtve
kozla
žgalščino
taka
vsaki
tak
postavah
znanje
izvoli
svetnik
dejali
zakona
moabcev
maščevanje
prebivalcev
videle
gora
usti
vzet
eliju
zveličanja
močnim
jojada
amazija
uzija
estera
solncem
čase
površju
očem
skril
noe
visoke
izpusti
prikazal
gorovje
hvalili
povsod
odšli
stisko
dim
ben
drva
sestre
zavpije
malike
zbežal
govoriš
isto
spravil
doline
nobeno
zgrabi
zbudi
lakoto
poslali
bolan
poznal
delom
mogočno
stregli
vpijejo
pokažem
imejte
zborovanje
povrnejo
porazil
vodah
pojte
pazil
umrli
tleh
posodo
posveti
hoteč
sramota
ljubim
živeža
vdove
darovati
naramnik
imej
pomazili
prinaša
pravil
imetje
rabi
polni
sodbi
enoletnih
veselite
starih
naglo
težko
balak
odgovorim
ujetnike
lepo
bet
družino
seje
ujetništva
nadte
rajši
silu
gideon
templja
prorokih
jeroboama
rečeno
joram
babilonskemu
zeharija
mardohej
laži
severa
skrivnost
stare
vsake
spravi
vstopi
živina
prime
pest
plašč
junak
betel
sva
hudobni
ujeli
desetino
deli
tujca
ah
porodi
njivi
varuj
ljudstvi
storiš
vratu
izlije
srečo
pasel
bela
skrivnem
našo
suknjo
zastavo
praviti
drugimi
pojdete
hebr
besedah
vstanite
hodila
ležišče
vname
kugo
služba
jezika
kameni
keruba
mero
napolnil
pokriva
ognjena
kaže
kamene
žgalnih
vest
ogleda
čemer
blato
naznanil
moral
ostaja
izpolnjevali
mlad
kozlov
vsekdar
vzdignejo
duhov
človeške
skale
meji
vinograde
potoku
balaam
vezi
pravične
spominjaj
krajev
kraljevanja
služabnik
nekdo
pregnal
sodnik
priliko
mine
davidovega
zavrgli
gospostvo
samarijo
ječo
ezekiju
sionske
meril
herod
križ
pokrajine
privede
ubije
sedmero
ribe
večne
kanaansko
južno
tvojimi
kaldejcev
nate
gospodovim
vzeti
osem
priseže
pol
možmi
veleč
povrnil
sklep
kneza
razodel
potegne
trta
obilosti
dežel
pojdemo
povedali
bridkosti
ohranil
pomagal
zidali
mesece
gremo
morajo
poginejo
madeža
smete
prihodnjih
služiti
zadaj
stebra
obleke
gospodarju
komolec
zapahe
vhod
štirje
opravlja
šteje
prevlekel
zažge
opere
tujcev
živite
benjaminovih
družini
rodovin
iztrebi
očetovskih
deleža
mnogimi
poguba
velikih
ženami
želel
kolesa
izpolnjuje
prepeval
obzidje
judovemu
dvanajsterim
popravljal
poganom
potov
skrivnosti
učence
počival
spoznanje
pozneje
množi
imelo
šatorih
kanaancev
stolp
začetek
ozri
polovico
množici
izaka
zdelo
groba
njiva
stopa
povejte
pustite
izkoplje
odpustil
sreča
ostanite
odpeljejo
branil
usmrtil
bregu
dvakrat
pomeni
enakega
peljejo
benjamina
skrbno
izroče
manase
plena
posteljo
umoril
suho
spoznaš
napravijo
varno
jezikom
sedmega
odkupi
bežali
slavil
desnica
železo
bližnjemu
vol
ravnajo
ovco
noče
zanko
višnjevega
preproge
severni
imen
redu
prva
opravljajo
drago
šatorov
kruhov
jemlje
zvedel
velja
očisti
taki
koži
zaman
ječmena
tretjem
boju
moram
davek
vojščaki
uri
izpolnjeval
korenine
srdu
nauk
povrnem
temo
moab
kolena
samson
mladeničev
pozdravite
joabu
damasku
prošnjo
kraljica
prorokom
palače
zgolj
ahazija
podobno
trava
senca
pevci
haman
mrežo
vihar
oznanjal
opustošena
človekovega
uro
duhovi
cerkev
verujete
cerkvi
svetlobo
loči
podobi
hrano
odpro
ozre
umori
huda
bogat
prepir
mojimi
grešniki
dolina
dolino
starosti
vodnjak
izmael
knezov
pripelji
kazni
čul
umrla
prihajali
pustili
obleče
pozabi
jožefa
krdelo
mogoče
bolečine
onkraj
mladenič
napolnijo
radi
ukaz
nimate
postelji
rop
prosimo
zlatih
levit
rešiti
osemdeset
šibe
zavetje
takih
napravim
sovražnika
občini
gospodovemu
vsakteri
mejo
močne
sodnike
zbeži
jame
povrniti
device
akacijevega
prvo
glede
stoje
pas
majanja
preide
odejo
zbora
nobena
naznani
tok
odnese
sedmerih
padali
zobmi
ujete
pobili
morali
name
očete
siona
živimo
pšenice
žalosti
dejanj
oznanjam
poslednjih
prostor
lastno
nove
rešim
dobri
hram
jefta
pravo
boljše
začno
rekši
samuelu
abija
veselili
davidovo
natan
zadok
neumnost
prestola
poglavarjev
jorama
smokve
sionska
utrdi
steze
ure
bedak
duhove
učenec
verujejo
šesti
reka
železa
božjim
površja
deseti
zahteval
rame
človeški
sklenili
zaroda
veroval
kanaance
imenovalo
vsekakor
sara
poljubi
oteti
dočista
zakliče
poveljnik
šele
ženske
lepe
zbran
poznate
usliši
vstati
sihem
molčal
idi
gad
prebivati
jokal
nekega
vdova
prišle
zadela
pošlji
klalne
mislil
togota
jokali
pomaga
povrni
opravljajte
stala
peči
postavljen
kobilice
nogami
izpolnjujte
rosa
tretjega
varujte
ubožca
starejšinam
kože
mizi
dvorišča
mladega
razumnosti
razbije
hudobno
komur
ogovore
aronovi
pregreši
enoletno
vpije
obleki
izginejo
togoti
moških
trte
srebrna
enemu
zaničevali
zvesto
gorovja
izvršim
dari
vrzi
mnogim
obrnili
krivičnosti
pogubil
dospe
vojne
sodite
vašimi
basanu
postav
bliža
izgubi
prisege
raste
sle
vrgli
bojevali
baalu
rama
umakne
amonovi
angelu
boljša
višavo
čakal
zaničuje
nimam
bogastva
sirski
samarije
radoval
molijo
hudobnih
prorokovanje
nezvesto
jud
prijatelji
napravlja
spoznanju
dejanje
molitve
oznanjeval
jona
filip
apostoli
travo
živini
vrt
adam
vrtu
spočela
ustavi
streho
vzhoda
onega
osemnajst
spusti
vedi
peč
kupil
prikloni
najdem
dvajsetih
takoj
jok
siloma
devica
močnejši
pripravim
prokletstvo
vaju
hetejcev
ozira
moremo
odidem
palice
požrl
trpel
juncev
spredaj
bežal
pitno
benjamin
prejšnji
gileada
brani
egiptovskega
povišal
požene
prejšnjih
povelju
rešitelj
vladar
povedo
trdo
zaklad
otročiče
štirinajst
kvišku
kanaanci
povem
števila
eleazarja
vpil
šibo
praznovali
pasho
obrnejo
skliče
taboru
stopal
nogo
poravnava
obleka
jehove
široko
svečnik
sukane
zagorelordečega
deske
šestnajst
visok
kamena
prstom
rogove
padlo
pokaži
usmilim
pripravljen
pregrešil
pravica
prinašajo
proglasi
žreb
kazen
počenjali
posedete
poginete
krivici
slabo
solnčnemu
dvaindvajset
štiriindvajset
nečisti
poglavarja
odrinejo
zbeže
materinega
dajajte
sežgal
hesbonu
podložnih
moaba
trobente
onostran
utrjena
ašere
postaviti
hranijo
pokoja
železne
judovim
micpi
gospodoval
božjemu
dražili
bridko
sulice
skali
kakšen
nadloga
majhen
streže
adonija
meču
libanonu
grehu
rane
konjih
gorečnost
hananija
„ne
naklepe
dobrote
pisma
znano
prijetno
upa
upam
krivic
kelih
upanja
govorimo
hudič
simona
jezusom
gospoduje
vesoljni
mladeniča
petnajst
popoln
neprenehoma
ustanovil
zahoda
lepa
odpeljali
žival
deklo
kaka
izkazal
kjerkoli
srebrnikov
pij
hodim
vsaj
šle
pokrije
sovražil
spomenik
rahela
sestri
drobnico
pomazilil
zategadelj
brž
hude
betlehem
hčera
mogla
moabski
sinovih
primerno
trebuh
dobrih
služabnikov
zbral
manaseja
pripravite
smejo
kos
živeti
postalo
srebrnih
nogam
mojzesom
iztegnil
svetlo
ostati
oblakov
vetrom
prebivališču
pripravijo
razsrdil
stopili
držali
oblaki
izpolnjujejo
kamenja
narodu
krivde
tat
krivičnega
žetve
čistim
umetno
komolce
čaše
vhoda
troje
togote
koža
podstave
napolnila
jedilna
oltarjem
pijače
malikom
krivično
določenih
štirinajsti
sili
prevzetnost
ceste
pokrajinah
zaroto
efraimovih
dalo
povračilo
zarod
mirno
velikonočno
šiba
družine
podložne
balaamu
dajem
veže
togoto
poglavarjem
pašnike
potok
tujim
poznali
vržem
zahteva
gilgalu
prebivalo
odpri
gnusob
pesmi
poginil
jeruzalemski
pobiti
gibei
vežo
odgovor
sircev
prava
ugledajo
pribežališče
siromaka
maziljenca
šum
prorokoval
otmi
jonatana
davidom
davidove
gradu
ščite
pisar
poveljnike
človeško
okna
prosijo
naložil
sovražim
nebukadnezarja
gedalija
johanan
maaseja
spodobi
novega
svetnikov
odrešenik
nauka
galilejo
hinavci
daniela
farizejev
petra
bodeta
plamen
svojima
dvoje
prvem
umeli
faraonovo
ravnini
mogočnemu
spoznam
četrtem
studencu
šteti
storimo
pojdita
ozrl
sanjah
spočne
nagni
južni
izpolnim
orodje
obilost
božjih
prodal
odpelje
malikov
trud
sprejel
dospel
sinú
odideta
tuje
obrnem
tolažbe
tamara
zasmeh
načelnik
služabnikom
store
šeol.
pelji
gadovi
smrtjo
umoriti
egipčane
sneg
doslej
polne
pustim
izpustil
pesti
preostalo
valovi
zakonu
povelja
breme
stopiti
spodaj
gledati
sovražijo
smel
sodniki
tujcu
prve
prvine
naprsnik
sprave
preprog
karmezina
voglih
stebri
tolst
opravi
slišim
prijatelja
spoznati
živ
način
odpravili
steno
zmanjkalo
daritvijo
čuje
česa
nečiste
nečistost
posoda
mrtve
gobe
lasje
sedela
kozel
meri
preklinja
popolno
sedmem
pridobi
prihajajo
zatrobi
očitno
služabnika
odvrnili
vojno
posedli
vzdiguje
prazniku
vedite
gilead
mesti
žrebu
nižini
dospeli
naravnost
kamenu
libanona
hudobne
plačila
učili
poganskih
gozd
kuga
pokorni
vzdignili
teko
betelu
gat
efraimskem
trobento
izda
sence
jerub
pošteno
leva
neha
elkana
dobrem
obrazom
prorokovali
spravim
konjikov
hrup
citrami
savlove
krivičnost
amnon
vstanem
svetnika
poslednji
vstajajo
rogov
utrjeno
mize
čašo
srebrne
kaldejci
mesulam
nase
jesua
razumen
misel
judeji
besedam
pošiljam
srčno
ezra
trpi
vedo
brezbožnikov
znanja
senci
vidimo
pregreh
radosti
prilikah
podobni
spominjal
angelov
podobna
hudobnega
vržen
učeč
shodnicah
bolnike
vstajenju
apostol
evangeliju
kristusovi
plemenih
spanje
listje
živečih
vzhodno
osemsto
ladji
suhem
sleherno
minilo
razodene
dejte
razkropil
nerodovitna
napoti
lot
faraonom
uprli
kades
trume
najvišji
polovici
ohranite
vstali
izpolnil
obrnila
nehal
senco
najmanjšega
milostno
steber
določeni
mladih
oven
zlat
okno
bersebe
večeru
položili
dobrim
jagnjeta
rojstva
zasadil
kup
moglo
mladiči
oskrunil
dovolj
zvezd
zvijačo
užival
kupa
pozabil
efraima
pripeljite
bridkost
vrnite
našimi
pošiljal
pravili
rubenovi
levijevi
zberite
palica
zidovje
iztegnjeno
prvaki
udarim
prosite
moraš
čimer
čudeži
opravljali
kvasu
tepel
odrinili
visoki
sredo
odkupil
moabskih
belo
zapiši
jozueta
stalo
sodili
trombe
prevaro
prestopkov
napisal
naokrog
dolg
širok
dolga
svetilo
pokrivalo
mednje
obličju
sežge
straneh
slišalo
prvih
odreže
mirovnih
