şi
rămînea
scaunul
nevasta
zidit
curat
nimicit
aş
fiţi
aproape
totdeauna
niciun
ştiu
beniamin
sînge
vi
cetăţi
cîte
ieşi
mie
marea
daţi
jertfe
ruşine
mănînce
măcar
ştiţi
îndată
ceruri
ştie
atît
totul
marele
copii
cartea
familiile
patruzeci
faptele
numit
apele
neamurilor
domnul.
fă
inimă
viaţă
aramă
poarta
fata
întîlnirii
nimici
strîns
manase
ieremia
lumina
preot
chivotul
sale
văd
ioan
vieţii
ţinutul
subt
untdelemn
ioab
pornit
sabie
scoate
lovit
trimete
aveau
casele
ales
pună
voia
cincizeci
unei
ziceau
sămînţa
bărbaţii
samuel
scoală
intra
necurat
ţine
omorît
seamă
întrebat
uitat
domnit
ridica
vadă
femeia
ducă
vai
una
isaac
jertfa
locurile
ajunge
păcatele
viu
nouă
apropiat
cădea
ezechia
locuinţa
zicea
dreptate
aveţi
argintul
mînie
muri
lăsa
legămîntul
timp
stăpînire
adunarea
piatră
dreapta
privire
această
deasupra
neprihănit
locaş
moştenirea
anume
cîmp
plăcut
rog
israelul
înţelepciunea
aibă
carnea
multă
ucis
luna
duc
familia
v'a
munte
împăraţii
împăraţilor
plin
mama
vezi
cunoaşte
strigat
căile
mănîncă
mers
popoarele
celce
felul
fiului
jur
rămînă
închinat
deaceea
filistenilor
morţii
uşa
poruncise
anul
spuneţi
cerurilor
răul
duh
teme
nelegiuirea
lumea
miazăzi
mării
asculta
niciunul
tămîie
bet
păcatul
aceeaş
altarul
îngerul
n'ai
vreau
proorocul
rele
credinţă
chip
acasă
alt
cuvinte
ionatan
pui
oi
robii
legile
duceţi
bătrînii
proorocii
tăiat
păcătuit
suie
cerului
fusese
însuş
dată
jumătate
amon
cumva
doisprezece
strînge
niciodată
lemn
locui
robului
sicli
lasă
hotarul
miază
altă
slavă
iei
limba
puternic
lui.
părăsit
întinde
cealaltă
moştenire
baal
şti
fel
leviţii
credinţa
legămînt
umblă
adu
întoarcă
iudeii
mîncaţi
bărbatul
găsi
stăpînul
morţi
dumnezei
glas
dragostea
lucrarea
lunii
dumnezeu.
luptă
deschis
locuit
poruncă
înalt
ştii
vecinică
mamei
esau
puţin
întregului
ascuns
dai
celelalte
moabului
caută
absalom
ieroboam
ilie
cerurile
adică
femei
n'are
numărul
apus
căruia
bărbat
bărbaţi
vorbi
păcat
îndurarea
vreo
judecată
ape
treia
nume
oile
ridică
priveşte
vede
rugat
putut
vecie
întunerec
asiriei
cărui
jurat
vedeţi
lucrările
doilea
crezut
arderea
focul
răspunde
preoţi
ahab
fratelui
veci
vino
intre
cadă
seara
sfîntul
preotului
rămîne
nebucadneţar
neamul
nicio
apucat
dreaptă
acestuia
bunătatea
vrut
mulţămire
rodul
acest
prihană
robi
împlini
seama
poartă
n'aţi
voie
cap
slujească
bune
daruri
darurile
scrise
cere
boi
m'ai
crede
neprihănirea
valea
fugit
vorbesc
tăbărît
spusese
stătea
pogoară
preoţilor
legii
eram
veac
îngropat
vrăjmaşilor
dimineaţa
veniţi
in
odihnă
iubeşte
făcute
pînea
străin
acestor
avem
ieşiţi
desăvîrşire
gură
fapte
ferice
iosafat
dimineaţă
şaptea
şaptezeci
filistenii
gînd
cunosc
lucrat
stăpînului
vorbea
gata
uneltele
altarului
pricepere
templu
trup
omoare
acoperit
stă
scăpa
jertfele
dreptatea
prooroci
dăduse
semn
legămîntului
n'o
stau
apropie
aurul
frică
fetele
trăi
mamă
satele
idolii
sfinte
ars
mîntuirea
elisei
babilon
ţinea
vrei
norod
vîrful
mulţime
leviţilor
aprins
înţelepciune
strigă
opt
aduc
şedea
odată
grîu
tabără
v'aţi
morţilor
iordan
împrejurimile
ceasul
mort
plină
sionului
oasele
mîniat
plece
împlinească
locuieşte
pun
băutură
sta
templul
iudeilor
lumină
haine
apa
tari
robie
ziceţi
inimii
veselie
vorbe
carne
binele
locuiesc
zeci
umplut
munţii
stăteau
culcat
chema
levi
pradă
izbăvit
păzeşte
samaria
psalm
făcea
asemenea
s'ar
acesteia
pricină
gad
acelaş
adevărul
popoare
laudă
porţii
balaam
ierusalimul
harul
oştirea
ajutorul
locuiască
întîmplat
vreun
scapă
oştirii
iubit
cinstea
miei
dumnezeii
cheamă
porţile
mic
ajutor
îmbrăcat
arăta
soarele
rob
viţel
şezut
femeile
dreptul
urma
dincolo
douăsprezece
m'au
nădejdea
lăudaţi
oprit
alte
pustia
tată
armele
urgia
eleazar
căpetenii
neprihăniţi
daniel
ploaie
băut
viteji
dan
sine
scăpat
slujbă
galaad
ochi
aduci
acopere
leviţi
amin
buzele
acelea
meargă
locuiau
prins
cărora
ruben
bate
toiagul
n'ar
temniţă
sfîntă
mulţimea
lumii
hotărît
cale
auzi
copilul
preţ
belşug
vorbească
ni
întîmpla
temeţi
arde
împrejurul
miazănoapte
vitele
chipul
găseşte
vîrsta
corabie
pieri
înălţat
vînt
fiica
împăraţi
isprăvit
legat
zică
minte
intrarea
întocmai
roade
pedepsit
făcută
necaz
căpătat
grăsimea
sfîrşitul
întîiul
ţinut
pîntecele
primeşte
lăuda
spui
case
scape
slujitorilor
dintr'o
căror
bucuria
templului
evanghelia
ceilalţi
norodul
purta
pline
arată
dinainte
întregei
părţile
untdelemnul
înviat
simon
dragoste
treilea
amîndoi
mînilor
fugă
prooroc
cui
celalt
înţelept
sănătate
porunci
preface
curtea
iehu
stăpîni
soarelui
abimelec
marginea
lăsaţi
piatra
stat
fiicele
haina
vinovat
leu
urechea
munţi
caute
ioas
rîu
izgonit
ţie
frica
vărsat
păziţi
ba
mîne
cinste
altuia
tabăra
groapă
fruntea
iasă
vestit
mîniei
pacea
rugăciunea
zedechia
sluji
foamete
pregătit
împlinit
norodului
următoarea
israel.
ştim
capului
cade
sfîntului
cîntare
lor.
nevestele
fraţi
avram
întărit
ardere
atinge
căutat
berbeci
rostit
tem
puneţi
stînca
prada
stare
alta
locaşul
pedepsi
laude
numelui
mica
lume
pustiu
fiarele
fer
uscat
privirile
păzit
moară
căuta
zid
jurul
ochiul
numărătoare
sfărîmat
marii
pilat
păsările
vie
fiecăruia
seminţiile
betel
încît
uită
tocmai
poată
masă
stăpînirea
cai
iubesc
nenorocirea
treacă
isaia
roadele
pleacă
berbece
paşte
aceşti
întoarceţi
inimile
aruncă
bucura
ţin
cusur
stîlpii
tăria
acestei
dinlăuntru
cerul
nor
zici
neprihănire
iau
scoată
laban
izbăveşte
primi
lupta
abătut
lase
sui
iov
arderile
mergea
maria
lucrează
nimiciţi
ucişi
împărate
poţi
deschide
naşte
piciorul
vorba
ştire
trecere
îndurare
mîni
turmele
miel
doar
lepădat
joc
capete
nelegiuire
învăţa
sabatului
ascunde
asa
iudei
groaza
stînga
judeca
umbra
plîns
trimet
căpeteniilor
porţi
muntelui
urăsc
credincios
măsurat
abner
credeţi
zaharia
sfîrşit
umbla
trăiască
sora
tînăr
uita
urmat
meu.
slujit
scula
masa
săbiei
haină
teamă
strigăte
minuni
scrie
aproapelui
nădejde
ioram
sion
mardoheu
bărbătească
ogorul
pedeapsa
rana
răutatea
nimicească
intră
rupt
vecinic
ocară
luni
trebuia
căutaţi
învăţătura
cuvînt
cîntăreţilor
iosia
arate
mănînci
el.
blestemat
edom
venirea
făceau
vorbă
rea
taie
înalţă
asculte
stea
înger
înveţe
iese
învăţăturile
proorocilor
haidem
noe
aflat
iordanului
rîul
bani
nevinovat
aceluia
păzi
alţi
vîntul
nenorocire
trupurile
stîlpi
vrăjmaşul
înălţimea
popoarelor
vrednic
david.
sămînţă
păzesc
curînd
robilor
adunat
atins
tăiaţi
venea
încolo
uns
făgăduinţa
fărădelegile
sorţi
roboam
ucenicilor
şeba
domnului.
amoriţilor
vîrstă
unor
negreşit
făcînd
frate
aflau
cerut
turma
neftali
ocara
soli
iordanul
săvîrşit
clipa
paştele
sfinţi
ardă
scăpare
vinul
bucură
adormit
ţărînă
arderi
sihem
tras
curată
auzul
întărite
lună
nebun
înseamnă
alege
vestea
cară
minunile
izbăvi
lucrare
numărătoarea
priviţi
urechile
zidul
învăţat
ţadoc
iehoiada
plini
prooroceşte
facem
hrană
omorî
lovi
însumi
străini
oară
credincioşia
pîrîul
jale
vouă
arunca
viţei
zidi
odinioară
azaria
prinşii
urmaşii
varsă
fim
locuia
născuţi
canaanului
alergat
fiule
locului
vîndut
turnat
simeon
zabulon
poarte
miere
adunării
vas
zidurile
aude
ghedeon
domnească
hristosul
sfinţit
piele
hebron
fuseseră
urmărit
roaba
ei.
călcat
ţină
locuitorilor
puteţi
patul
odaia
adunare
afla
lipsă
dumnezeilor
curţii
drepte
altora
siriei
semne
putem
neveste
şasezeci
miros
singură
ta.
groază
ismael
floarea
deodată
măsură
aud
şimei
izgoni
cînta
via
sărac
aripile
talanţi
aproapele
vederea
vestesc
smerit
urîciunile
proorocului
nelegiuirile
haman
gol
păzească
trebui
trăieşte
slujitorul
bătrîni
ierta
capăt
văzînd
bucăţi
grîul
carăle
judecata
israele
înălţimile
balac
gurii
galilea
har
duhului
fariseii
apelor
iarba
patrulea
fiice
goliciunea
corturile
binecuvînta
frumoasă
purtat
temut
îngăduit
grijă
pielea
încredinţat
aleargă
chemaţi
cunoşti
adăpost
adunări
ducea
bătrînilor
audă
moare
descoperit
căpetenie
idoli
iubiţi
ghibea
gîndurile
buni
corabia
fugi
culcă
rînduit
sfatul
aşer
veste
pierde
boii
ţări
strigătele
amîndouă
păcatului
mormînt
întăreşte
samson
natan
lei
învăţătorule
vite
ieşea
potrivit
cîmpului
însărcinată
bucată
umblat
cîmpia
greu
place
atotputernic
copil
cort
mormîntul
duci
istorisit
întorc
fiică
isahar
deoparte
nenorocit
faptul
iartă
slujiţi
sărbătoarea
încredere
împărăţie
hotărîrea
necurmat
prinşi
trîmbiţe
abate
braţul
domniei
irod
închis
deloc
heruvimi
trăit
neamului
împărţit
egiptenii
făcuseră
moab
arcul
bată
lipsit
înălţa
vrăjmaşului
închinaţi
slavei
pietrele
folos
idolilor
bărbaţilor
judecăţile
împărăţiei
marginile
înălţimi
izreel
isai
ahazia
ahaz
haldeilor
hrana
curge
luată
femeii
tine.
nevestei
crescut
bogat
ceartă
puţină
îngeri
celei
madian
degetul
uitaţi
înţelepţi
edomului
carte
învaţă
ajungă
veşmintele
stîncă
soare
aducea
benaia
ioiachim
păşunat
întunerecul
cot
mijloc
dobitoace
grabă
stătut
vis
mine.
lemne
junghie
mergeau
beau
stai
vale
ştia
înşişi
înfăţişat
altfel
cunoştinţă
apucă
ucide
caii
filisteni
chivotului
efă
fiind
alături
dimpotrivă
curăţit
îmbrăcaţi
trupului
vechi
seminţiei
bolnav
sirienii
scumpe
roage
învăţătură
zecea
semnul
cîmpie
încetat
spele
înconjurat
degeaba
preţul
însuţi
m'aţi
părăsi
subţire
nevoie
abia
ceeace
robiei
apropia
sete
altor
aduse
părul
cîntaţi
temeliile
rugăciune
eli
găsesc
clatină
şemaia
amaţia
anii
vedere
cheme
fete
limbă
lot
bogăţiile
repede
viţelul
ben
ruga
copacii
veneau
hadad
paharul
sărbătoare
mici
perdeaua
trecea
împărătească
cedru
pîni
trîmbiţă
merg
acestui
caleb
galaadului
liban
ruşinea
iubitul
gat
minciuni
samariei
rămăşiţa
ucenici
sfinţilor
înconjoară
adînc
zilei
toţii
făină
pogorî
adăugat
beer
turmă
fată
ceată
aducere
naştere
ascuţişul
duceau
străjerilor
voit
egiptenilor
sufletele
vesti
singuri
acoperi
sinai
pustii
lepăda
ghilgal
trăiesc
pîndă
calcă
damasc
urie
vistieriile
cronicilor
estera
neprihănirii
filip
rod
stelele
sădit
luase
spini
uşă
făptură
dobitoacele
necurate
munţilor
nori
înspre
zisese
slujitori
tău.
judece
rămîneţi
sila
bătrîn
săpat
chiriat
pusese
binecuvîntarea
păstrat
schimbat
deasemenea
urechi
umple
suiţi
merari
pat
călăreţi
martori
puternică
semnele
caselor
umplea
suflarea
cîţiva
lupte
bucurat
porunceşte
şaptelea
lăţimea
trage
fărădelegea
sabat
descoperi
pildă
păcatelor
mărturisesc
mîntuit
silo
bucure
încred
adevărului
pămînteşti
mintea
canaan
hotarele
averile
vinde
rămîi
închine
jugul
cărei
rahela
locuitori
aducem
dinspre
pela
cîntat
sunetul
citit
capetele
pustiit
mîndria
planurile
tinerii
asaf
seară
patra
plăcere
optzeci
pare
viteaz
avînd
seir
mor
cumpărat
răutate
îngerii
vorbeşti
mea.
spălat
voiţi
credincioşie
păr
miţpa
martor
vorbiţi
creşte
core
dregătorul
ridice
lanţuri
cred
puterile
spurcat
judecător
rîurile
străinul
oastea
aduceau
boul
descopere
lungimea
drugii
dincoace
împliniţi
bucuraţi
părinteşti
proorocit
sihon
ierihonului
stînd
aprinsă
vrăjmaş
supus
încrederea
uşile
cunoştinţa
numi
sîngelui
nicidecum
nimicesc
unuia
numită
n'avea
măgar
lapte
depărtat
judecă
destul
ochilor
rugaţi
înţeles
înaintat
vreunul
vedem
spunea
pleca
piară
mărturiei
seminţiilor
într'una
ţap
văduvă
cerceteze
închina
păcătuiască
fundul
aşeza
sătura
întîmplă
mărturia
ispăşirii
scîrbă
urăşte
înaltă
începutul
judecaţi
înalte
mîntuirii
plînge
măsura
hilchia
iohanan
satana
iudea
barnaba
braţe
durere
zidească
stricat
merinde
îndreptat
cete
scutul
sara
uite
prefăcut
bunăvoinţă
coarnele
jurămînt
cunoaşteţi
luptat
înşivă
locuiţi
venind
dregători
întîmple
zdrobit
scaunului
lucrurilor
rană
coarne
frămîntată
date
plata
curvie
pîngărit
striga
aşteaptă
mulţămiri
rupe
paşii
protivnicii
strălucirea
iona
ghedalia
trebuinţă
încrede
cărturarii
apostoli
răstignit
suflet
rîului
dădea
primească
vitejii
ţările
sodoma
cetăţilor
ogor
întrebe
stăpîn
pretutindeni
trec
goale
ţapi
întreba
amalec
strig
marelui
erai
bunătate
priceput
plecaţi
sufletului
lepră
orb
loveşte
floare
încins
norul
foame
purtarea
mistuită
răscumpărare
slujbele
slujeau
cununa
beţi
purtaţi
lauda
plată
blestem
sînul
prilej
fericirea
rama
tirului
celorce
cad
bătaie
obed
încoace
gîndesc
deşertăciune
cincea
suflare
feţei
dorinţa
bogăţia
înălţime
ţii
ţinuturile
puteau
apuca
socotit
izvor
hotărîtă
ospăţ
singurul
orînduirile
vorbele
urît
scoateţi
depe
ah
schimb
chehat
inşi
ramurile
vase
laşi
binecuvîntaţi
jertfei
cursă
mistuite
rînduielile
sorţ
car
întind
răutăţii
săraci
felurite
sfinţii
suliţa
dărîmat
hiram
ozia
şafan
pier
cîştig
laud
ştiinţa
suferi
înlăuntru
măgari
supuşi
înmulţi
vostru.
femeilor
mînii
jură
iubeşti
voi.
ies
scot
îndepărtat
printr'un
linişte
durerile
betleem
visul
rămîn
săgeţi
într
familie
măruntaiele
privitoare
aleşi
cioplite
împlinirea
străinii
ziduri
lungă
săgeţile
basan
vedenia
rîvnă
puii
iefta
lacrămi
plăcută
sufere
nimănui
abiatar
cîntări
vuietul
hanania
căutau
biserica
frumoase
lungime
intri
seminţei
află
spaimă
noroadele
foametea
binecuvinteze
numea
judecat
fericit
frumos
tînărul
cuvintelor
înfăţişarea
carul
vinovaţi
domn
mergem
ciumă
vasele
urgie
nopţii
şade
v'o
focului
scînduri
necurmată
nun
altarele
slujesc
cîtă
acelora
proorocesc
poftele
îngerului
puternice
locuri
prietenii
gabaon
împărăteşti
depărtează
ahaşveroş
fiicei
tinda
aceleaşi
frunte
cades
bogăţii
tineri
plăcea
dis
disdedimineaţă
săturat
mănînc
lea
acesta.
şaselea
oilor
atîta
n'aş
ana
caut
aruncaţi
groapa
mîngîie
dregătorii
staţi
depărta
nădăjduiesc
vecinice
puternici
lucrări
vecinicie
rîuri
luare
îndreaptă
pusă
opta
albastru
colţuri
pogoare
clipă
întrebaţi
puterii
orz
seminţie
împărătesc
nimiceşte
oaste
suflete
împărăţiile
ascunse
necredincioşi
cărările
venise
boaz
amnon
odăile
rugăciuni
baeşa
ezra
iudeu
mincinoşi
capătă
răbdare
strîngă
lucra
naşterea
izvoarele
ploaia
aripi
nimicită
mergi
lat
răsculat
dintr'un
fug
mărturie
vorbind
mielul
temi
urmeze
greutatea
liniştit
strîngeţi
întorcea
întîlnit
spice
necazul
legăturile
egiptul
înmulţit
umble
oştile
arunce
înarmaţi
legi
înţelege
slobod
salcîm
acoperişul
sfinţiţi
cunună
siclul
făinii
înlăuntrul
picioarelor
smeriţi
moşia
durerea
locuinţei
răzvrătit
priceperea
mărturisit
nebunie
risipit
răsplăti
gîndul
norii
strajă
domnia
ţintă
uliţele
împărăteasa
sfărîma
hazael
întristare
baruc
nelegiuit
înşelătoare
greceşte
sinagogă
întinderea
stăpînească
răsăritul
dobitoc
verde
asiria
cananiţilor
tamar
fir
cuptor
treceţi
copac
făgăduit
cenuşă
mică
dăm
rebeca
jurămîntul
iubea
noi.
înfricoşat
patrusprezece
birui
tăia
culca
însemnează
închide
sfaturile
prinde
fineas
întîii
pregătiţi
cîntarea
valurile
taberii
înfăţişare
aprinde
table
tămîia
covoare
suia
aşeze
proslăvit
isprăvi
închină
vestiţi
ridicaţi
începe
tărie
slab
ceata
pădure
bir
întocmit
tremură
domnitorii
vreţi
scaun
vesteşte
iotam
bat
prieten
băgare
dispreţuit
abişai
adonia
scump
logofătul
şalum
capii
nelegiuiţi
nenorociţi
credinţei
despărţit
lucreze
bărbatului
scoţi
curate
băgat
crească
cămile
vedenie
fum
nespus
albă
stîlp
trebuiau
roabei
mormintele
fetei
prietenul
poruncesc
gîtul
şezi
locuinţă
alb
următoare
naşterii
sac
curvă
viţă
puse
urîciune
acestora
sfîşiat
printr'o
pruncii
cailor
seminţii
toiag
frînt
piere
ceară
treci
biruit
plăti
mirositoare
verigi
pînile
judecăţii
legănat
mergeţi
întristat
celorlalţi
purpură
greutate
vorbindu
curăţi
corăbii
marilor
întări
oştire
ferul
cuvine
umblaţi
starea
vindeca
întăriţi
bunăvoinţa
moabul
trezeşte
mîntui
vestească
stinge
doresc
temelii
nebat
şedeau
minciună
usucă
meşulam
zorobabel
dariu
babilonul
farisei
întindă
corturi
şterge
pierit
nimicite
en
aceasta.
fîntîna
nască
înapoia
sculaţi
acesta?
fîntînă
căreia
grele
ieşirea
mincinos
roua
necazului
înţelepţii
necazurile
ştiau
risipi
pustiită
perit
cîmpiile
roşie
răscumpărat
întemeiat
dulce
bou
sfeşnic
lăuntru
călca
legaţi
junghiat
răscumpere
parcă
cunoască
unit
răspundă
netăiaţi
ostaşi
sunat
tovarăşii
strîng
iubiţilor
n'avem
ahia
nabal
ţeruiei
sirienilor
vorbeau
firea
pilde
rugăciunile
smulge
perşilor
cir
satură
scriu
fiarei
botezaţi
dracii
cărturari
bisericii
scriptura
firii
vecii
ţărîna
grădină
zdrobi
cain
abel
acoperiţi
înţeleagă
stearpă
străbătut
roabe
lung
legătură
ea.
ziuă
nostru.
numeşte
nisipul
maaca
nesocotit
uşor
prindă
visat
lovească
negoţ
gînduri
stele
sfătuit
goală
curvit
saci
împărţi
laudele
urmări
zidului
jure
ajutat
creadă
înceteze
vedeau
pomenirea
războiul
mincinoasă
primiţi
punerea
cărbuni
stîlpilor
brîul
într'alta
slujitor
pedepseşte
lemnul
strige
aşezate
stropească
păcătuieşte
opreşte
străinului
neîncetat
nouălea
fărădelege
nimicire
vreodată
judecătorii
faptelor
batjocură
nenorocirii
susa
degrabă
laţ
izbăvească
păcii
leul
iute
prieteni
nebunul
temelia
socotiţi
nabot
ioahaz
vindecat
maaseia
nebunia
mincinoase
plăcute
taina
propovăduit
nazaret
botezat
diavolul
învierea
timotei
vremile
peştii
fiare
pomul
grădina
somn
cuiva
mîhnit
lăţime
răspîndit
feţele
ninive
atingă
adusă
optsprezece
răsplata
celuice
data
intraţi
însăş
depărtare
întrucît
umblu
slujeşte
păstorii
blestemul
juruinţă
cunoaştem
stîlpul
poftit
jăfuit
zerah
dregător
vărsa
cîmpul
trăim
faptă
părţi
alese
păstorul
egipteni
machir
scalde
puşi
înşele
ţineţi
turte
pustiei
cal
mărimea
niciuna
deplină
nimiceşti
cărmiziu
efodul
rîndul
îmbrăca
prilejul
jertfit
cuprinde
preţuirea
mistuit
privi
curăţeşte
sădi
ramuri
putinţă
păcate
crezi
sămănat
og
proorocie
fapta
juruinţele
zidiţi
stăpîneşte
stăpînit
împlineşti
buze
lovituri
rămăşiţă
capătul
cetăţuia
cetăţuie
suferit
chis
păstor
achiş
instrumente
credincioşi
sionul
obadia
ajută
uimiţi
soarta
mădularele
adîncul
nuiaua
oprire
bolnavi
mîntuitorul
poticnire
botezul
roadă
pilda
macedonia
vecilor
iarbă
lumineze
păsări
fiarelor
privit
cîntă
nouăzeci
vremurile
făpturi
tinereţa
seba
gaza
turnul
cananiţii
mereu
supune
multor
azimi
mele.
ziceam
măgarul
lemnele
berbecele
opri
fecioară
sfîrşi
băteau
genunchii
străine
înştiinţat
fereşte
cercetează
împărăţit
rămăseseră
apropiaţi
murim
chem
facerea
itamar
oştirile
împietrit
depărtaţi
vrăjmaşi
loviţi
sabatul
trîmbiţa
răsucit
ispăşirea
hin
candelele
mir
sabatele
mistui
căpăta
ceea
idoleşti
judeci
iertat
cetele
grija
cîştigat
ispitit
basanului
vază
rimon
răpit
malurile
vegheaţi
întreabă
ramot
chipurile
abată
nelegiuite
doreşte
adevărată
auziţi
dealurile
ascunsă
ierihon
ştiut
familii
carmel
hamatului
şemeş
sisera
dădeau
naomi
rut
vedeniile
unsul
pieirea
plîngeţi
uliţe
viitoare
pătrunde
desăvîrşit
mîntuiţi
învia
adam
eber
haran
binecuvîntare
tale.
păcătoşi
zeciuială
roabă
eufrat
locuieşti
strigătul
colţurile
uiţi
sare
punem
plîngă
încercare
băiatul
călătorie
sănătos
cîteva
cincilea
încotro
slabe
deosebit
unsprezece
păstrează
păşune
purtau
locuinţele
zărit
zălog
pază
mîncau
naaman
folosul
unelte
sîlnicie
omorîţi
întorci
bătuţi
nadab
elcana
depărteze
slujim
pragul
aluat
vrem
cioplit
trîmbiţei
răscumpărarea
oaie
pierdut
protivnicilor
stropit
purpuriu
covor
cuprins
gîndeşte
ieşeau
verse
acele
necurată
secera
chipuri
ciuma
datoria
eliab
cărţile
numărat
însărcinaţi
privesc
plîng
răzvrătiţi
must
zideşte
pregăteşte
răsare
ucigaş
învăţaţi
împlineşte
iubi
asculţi
dărîmături
pedepsească
plac
depărtată
minunate
libanului
anatot
n'aveţi
răsună
ioel
cuvîntului
dăinui
urmăreşte
seraia
veseli
mustrarea
cîntăreţi
pasă
curviile
ahicam
haldeii
netania
lăudăm
strălucitoare
greşelile
deschid
laţul
cărarea
mîntuire
voivozii
orbi
potirul
adunaţi
limbi
antiohia
eraţi
pămîntească
pom
şarpele
meu?
enoh
cincisprezece
sem
rînd
înceta
trag
aram
noroade
peri
fumul
ţiitoarea
anilor
roş
turme
certat
mîncarea
sărutat
supuse
binecuvintează
înşelat
averea
răspunzi
ceri
voiesc
sucot
măgarii
curăţiţi
coapsele
hanan
pereţ
socoteala
temniţei
arse
altele
îndeplinire
uit
ferească
înşine
sosit
ogoarele
roşi
aria
oarecare
întinsă
prăznuiască
încheiat
ogoare
urmează
cererea
trestie
întinse
suna
tremura
trepte
pedepsiţi
dosul
verigile
braţele
pieptul
fire
vina
juruinţe
zecimi
duhurile
n'aibă
împotrivi
omeneşti
altare
proorocia
rîvna
întindea
urmele
judecători
hainei
veselească
scoale
înţelepciunii
văii
împărăţii
căi
grumazul
domni
certuri
aştepta
veselă
şadă
leapădă
oştiri
veşti
curse
plăcerea
împlinesc
ahitofel
mîntuieşte
nenorociri
zidesc
temei
dedat
isprăvile
scrisori
tăcea
rănile
numiţi
samănă
furtună
dinţi
flămînd
măcarcă
pustietate
ierusalime
păcătos
pruncul
cugetul
mărturisirea
pămînt.
şasea
laolaltă
pîntece
lată
bucatele
întreg
elam
lăudat
izvorul
rînduiala
aceleia
peşteră
întîmplate
sorei
deslegat
răsplată
puneau
călări
luate
tăcut
aici.
dece
bucate
turburat
topi
gît
strigau
cercetaţi
scăpaţi
socoteală
lipsiţi
răspund
