agus
iasgairean
thigibh
leanaibh
ceum
shebede
eadar
thusa
umhail
fhreasdail
ghrian
easlainteach
dorus
gad
shireadh
shin
capharnaum
eadhon
timcheall
mullach
crithe
bruidhinn
peacannan
fhasa
dhachaigh
fhaca
riamh
leithid
alpheuis
cismhaoir
peacaich
tinne
phairiseach
breid
stracadh
triall
tro
sagairt
sheargte
comhairle
thall
iordain
shidoin
mhiad
bhialaobh
uige
cuireadh
leigheas
philip
bhrath
urad
bhreith
chlann
peacadh
fhaigh
muigh
thimcheall
eisdibh
shearg
deich
fillte
eolas
run
siad
eisdeas
mealltaireachd
fhagail
toirear
leabaidh
aire
ais
siol
lugha
chadal
chronaich
laidh
tric
cuibhrichean
clachan
mhic
ghrios
unnta
cead
gud
uachdrain
siubhal
fala
bhliadhna
chulaobh
eucail
cheart
deach
feartan
te
fhiamh
sith
riaghladair
caoidh
goirt
fanaid
ighinn
anabarrach
fhaighinn
dhuthaich
faidh
miarailt
mhain
rin
thairis
fanaibh
eisd
fhianais
dheanamh
follaiseach
aobhar
oibreachadh
priosan
herodiais
phos
droch
mharbhadh
ceart
sabhailte
airson
orm
meis
feadhnach
fas
anail
uine
ghabhail
chiadan
riaraicheadh
chaol
bethsaida
anmoch
coiseachd
thuig
mhargadh
chumail
chupaichean
phoitean
lem
fagail
cumail
chul
tobhartas
tuigibh
thruailleadh
truailleadh
adhaltras
murt
luath
dheidhinn
thighearna
bhord
chluasan
shile
theangaidh
fhosgladh
ceangal
giulan
astar
cleibh
comharraidh
ginealach
ghinealach
suilean
cuimhneachadh
beanadh
imeachd
tu
rug
theirig
togadh
eirig
naire
asam
bhriathran
geal
rabbi
mhaois
tearnadh
deaspud
glac
seargadh
ana
bhial
creidsinn
sheol
dheisciopul
liubhairt
marbhadh
sheirbhiseach
ghlacadh
araid
bacaibh
gearr
fhearr
iutharna
chnuimh
chas
saillear
iobairt
abhuist
sgriobhadh
cruas
sgriobh
thus
chruthachaidh
cheangail
ceisd
bheag
gradh
bhreige
reic
coimhead
duilich
barrachd
ioghnaidh
braithrean
peathraichean
geur
leanmhuinn
bheatha
ath
smugaidean
dearbh
chli
diumbach
diante
dhaibhidh
og
abraibh
ghearr
chraobh
teampuill
fhige
brath
saghach
cinneach
chreideas
creidibh
faigh
fiona
seirbhiseach
taire
fhiona
leugh
sgriobtur
iongantach
luchd
seachdnar
sliochd
darna
mata
mnaoi
sgriobturan
flathais
inntinn
neart
choimhearsnach
furan
bhantrach
togalaichean
cuin
seallaibh
chogaidhean
gabhaibh
tachairt
liubhraidh
tilleadh
breige
comharran
dorchadas
neoil
feille
alabastair
ungadh
chaisg
bidh
nochd
goir
uairean
ruig
deonach
claidhean
bataichean
choimhlionadh
seirbhisich
chomhairle
beachd
ghoir
liubhair
ceannairc
purpur
magadh
cheus
creid
ioseiph
salome
corp
cheannaich
anart
uaighe
oiseachd
aingeal
ghnuis
reiticheas
shlighe
romhad
reitichibh
rathadain
direach
aithreachais
fionnadh
crios
leathair
mheadhon
locuist
mil
fhiadhaich
cumhachdaiche
airidh
cromadh
bhrogan
bhaist
abhuinn
iordan
tusa
gaolach
thlachd
ghreas
ainmhidhean
greim
iad.
dhibh
lin
caradh
chapharnaum
sinagag
eigh
comunn
ar
sgrios
reubadh
ionnus
orduigh
iomradh
fiabhras
fodha
baile
cruinneachadh
leireadh
gne
ghalar
thilg
choimhearsnachd
searmonaich
truais
glan
luibhre
ghlanadh
sparradh
tairg
ghlanaidh
theisteanas
thill
chualas
uimhir
dorais
pairilis
ceathrar
chionns
domhlachd
ruisg
fosgladh
mhathadh
mathte
coisich
togail
chors
lebhi
cise
slana
lighich
peacach
agadsa
fhuaghail
liad
sgainidh
doirtear
caillear
coir
ura
achaidhean
arbhair
spioladh
dhias
linn
abiathair
tairgse
seas
laghail
thiarnadh
tosd
feirg
duilichinn
doille
cuide
herodianich
lerusalem
idumea
thimchioll
fhreasdal
domhlaicheadh
bhruchd
beinn
roghnaich
comas
tinneasan
bartholome
matu
tomas
thadeus
cananeach
caothach
roinnte
crioch
mathar
blaisbheuman
toibheum
naoimh
chaoidh
ciontach
siorruidh
orrasan
phiuthar
chrunnaich
deachaidh
creagach
uire
doimhneachd
fuinn
friamh
chinnich
thugadh
diomhair
nithear
tuig
thuigeas
chreagach
aoibhneas
dhreaghan
iomaguin
beartais
sannt
tachdadh
ghlacas
coinneal
shaghach
coinnleir
rud
tomhas
thomhais
toimhsear
cuirear
duilleag
dias
grainnean
deis
abaich
corran
foghar
shamhlaicheas
coimeas
grainne
shiol
mustaird
chuirear
thalamh
mhinich
null
taoibh
eathraichean
deireadh
eathair
cluasaig
dhuisg
fois
fiath
choinnich
chomhnaidh
bhruan
cheannsachadh
beanntan
bhruthadh
ghnothach
airde
guidheam
pian
neoghlain
legion
fogradh
muc
mucan
treud
mhile
deann
comhair
cinn
bhathadh
biadhadh
thachai
sharachadh
uime
chiall
guidhe
phianadh
guidh
decapolis
iairus
bais
leighisear
domhlachadh
thiormaich
fhairich
coluinn
leigheis
thionndaidh
biorionnach
chrith
fhirinn
chreideamh
dragh
chuinnaic
iomairt
bhruaillean
gaire
choisich
aois
iognadh
sparr
rudeigin
theagag
gliocas
gniomhan
euchdail
leagail
cion
creidimh
imich
spioradan
cuarain
chota
crathaibh
duslach
dher
casan
fheumar
aithreachas
shean
dhen
tug
bhrathar
herodias
aice
ghleidh
iomagain
eisdeadh
toileach
freagrach
suipeir
uaislean
cheannardan
mhaithean
dhanns
thaitinn
riuthasan
chailin
cabhaig
baiste
dhuilich
mhionnan
miothlachd
sleagh
phriosan
chorp
ostail
lionor
chaoraich
bhuachaille
chuid
fasach
ruit
fhaisge
ceannaich
itheas
cheannach
luach
buidhnean
fhiar
ghorm
cuideachdan
aireamh
sgaoileadh
fairge
shaoil
manadh
glaodh
misneach
thann
chruadhachadh
leabaidhean
cuala
tadhaladh
cathraichean
straidean
guid
aodaich
iudhaich
nigh
ionnlad
orduchadh
shoitheachan
praise
fhaisnich
deidhinn
chealgairean
pobull
urraim
dhomhsa
bilean
bhuam
mhollaicheas
basachadh
basaicheadh
corban
bhuamsa
buannachd
dhuts
bial
staigh
tuigse
bhroinn
dun
glanadh
bhiadhan
thruailleas
smaointean
striopachas
uilc
struthadh
falach
bhana
phaganach
chinneadh
shirophenissa
fior
ithidh
cuileinean
fon
chriomagan
cloinne
nighinn
aisde
shidon
dhecapolis
mheoir
osnadh
ephpheta
dhaithn
riuth
agam
cheana
dhitheas
leigeas
fannaichidh
riarachadh
buidheachais
mheanbh
phronnaig
fhagadh
cheithir
cheasnachadh
osnaich
dhiochuimhnich
bhonnach
reusonachadh
choig
miad
phronnagan
doill
shuilean
sealltuinn
chraobhan
chesarea
philippi
fhulang
dhiultadh
ardshagairt
thri
chronachadh
tionndadh
bhagair
shatain
tlachd
aicheadhadh
leanadh
fheairrde
saoghal
chosnadh
chailleas
anma
ghabhas
adhaltrannach
pheacach
assan
athar
naomha
blais
dealrach
gheal
shneachda
fucadair
dhuinne
dianamaid
paillionan
dhutsa
fhac
gleidh
cheisd
ciallachadh
toiseachd
bhualadh
cobhair
diosgail
fhiaclan
rid
ghinealaich
creidich
ghluais
bhuaileadh
caran
cop
comasach
chreideach
ghille
glaodhach
deoir
cuidich
mhaoidh
bhodhair
bhailbh
aithneadh
rach
riabadh
seorsa
troimh
eatorra
gar
ne
bhac
ealamh
cupan
chaill
dhuais
lethlaimh
lethchois
chois
chruimh
fhasas
bhlasda
blasda
unnaibh
eadaraibh
iuda
litir
dhealachaidh
reachd
firionn
boirionn
fuasgladh
chiadna
phosas
adhaltrais
maoitheadh
cloinn
bhig
bhuineas
riumsa
faintean
goid
bhom
oige
iuntas
flathanas
uidh
beartas
chno
snathaid
fhagas
lethsa
soisgeil
tim
mathraichean
shiorruidh
shaoghal
liubhrar
ditidh
cinnich
caithidh
sgiursaidh
marbhaidh
mic
leinn
olaidh
baistear
bhaistead
leamsa
uimheamachadh
deichnar
sheumas
nar
measgsa
miann
frithealaidh
mhorain
iericho
bartimeus
thimeiuis
deirce
mhaoith
trocair
sheas
misneachd
fhalluinne
leum
rabboni
teann
sliabh
olibheit
siubhlaibh
coinneamh
fuasglaibh
tillidh
ceangailte
gheata
coinneachadh
fhuasgail
falluinnean
aodaichean
geugan
sgap
hosanna
acras
craobh
duilleach
faigheadh
duilleagan
figis
meas
fhuiligeadh
giulanadh
tromhn
abrar
thighsa
uamh
fhaodadh
mholluich
tilg
teagamh
dianar
mhathas
cheist
freagraibh
innsidh
dianamnh
smaoinich
annta
fhcin
oirnn
fhior
innseas
phlanntaich
lios
garadh
chladhaich
amar
tur
shuidhich
aonta
thuathanaich
chein
falamh
ionusuidh
lot
sgiurs
aona
ghradhach
urram
gharaidh
sgriosaidh
tuathanaich
dhiult
clachairean
chinn
oisinn
heroid
chainnt
eisimeil
pearsa
firinn
cis
chesar
foill
thoiribh
iomhaigh
cesar
sadusaich
rad
fag
gabhadh
dheireas
deanamh
mearachd
eireas
phosar
leabhar
phreas
abrahaim
isaic
iocoib
israel
agas
uil
loisgte
glic
daibhidh
suidh
naimhidean
stol
culaidhean
chathraichean
shuidheachain
suipeirean
shluigeas
urnaighean
binn
cruaidhe
choinneamh
iuntais
airgid
uibhir
bhochd
phailteas
uireasuidh
shlainte
breagha
mora
fhagar
muin
cloiche
tilgear
thachras
thoisicheas
coimhlionadh
meall
sib
meallaidh
sgialan
fheudar
chrioch
seallaibhse
chomhairlean
sgiursar
seasaidh
uachdarain
righrean
lethse
feumar
tarruinn
smaoinichibh
labhraibh
parantan
grainealachd
leirsgrios
choir
leughas
tuigeadh
teicheadh
iudea
beann
thogail
achadh
thruaighe
lethtromach
ciche
amghairean
giorraicheadh
tiaruinte
thagh
giorraichidh
criosdan
beartan
mhealladh
trioblaide
ghrein
ghealach
solus
reultan
tuiteam
gluaisear
cumhachdan
mhoir
crunnichidh
ceithir
gaoithean
talmhuinn
gle
dhluth
seadh
dorsan
tachair
fhacalsa
choltachadh
sheirbhisich
obair
dorsair
dianaibhse
choilich
obann
ribhse
buaireas
bethania
lobhar
bocsa
phriseil
spicnaird
bristeadh
bhocsa
thaom
milleadh
corr
monmhur
faodaidh
thoilicheas
chuirp
adhlaic
shearmonachadh
innsear
chuimhneachan
ghoirtichte
iobradh
casga
deasaich
rachaibh
tachraidh
sheomar
fiachaidh
seomar
farsuinn
uidheamaichte
deasaichibh
muladach
seach
tumadh
mheis
bheannachadh
chorpsa
taing
si
fhuil
tiomnaidh
nuaidh
dhoirtear
morain
thoradh
fionain
buailidh
buachaille
sgapar
caoraich
roimhibh
ghabhadh
asad
diugh
gethsemani
suidhibh
amhghar
imcheist
bronach
nad
chaithris
tuit
buaireadh
than
lag
briathran
trom
chanadh
eiribh
falbhamaid
bhrathas
faisg
brathadair
pog
beiribh
curamach
phog
tharruinn
chlaidheamh
chluas
threigsnin
anairt
bhuapa
ruisgte
cuirt
fianais
leagaidh
teisteanas
acasan
cordadh
cheasnaich
deas
speur
eididh
thagainn
fianuisean
dhit
toillteanach
caitheamh
comhdach
aodainn
bualadh
dhorn
faisnich
basan
cuirte
coiloach
searbhanta
tacain
cinnteach
galileach
chuimhnich
aicheadhaidh
seannairean
philat
cuis
priosanaich
iarradh
dhirich
thosich
chleachd
fharmad
bhrosnaich
leigeadh
raghainn
ceus
thoileachadh
sgiursadh
saighdearan
praetorium
buidheann
eid
fighe
crun
dreighinn
chirene
alastair
rufuis
golgotha
theangachadh
chalbhari
measgte
mirr
treasamh
chuis
dhitidh
os
mheas
eucorach
teasraig
shabhail
shabhaladh
thigeadh
israil
siathamh
naoitheamh
chual
eliais
lionadh
spuing
cuilc
faicemid
sthracadh
brat
bhraighe
iochdar
boirionnaich
galile
bhoirionnach
direadh
uidheamachadh
romh
arimatea
comhairleach
urramach
suil
dana
go
cheannard
shuain
gearradh
chraig
charaich
spiosradh
falbhadh
charaicheas
sula
carachadh
dheas
sireadh
tuirt
moch
seachduin
facas
leatha
chach
diag
chreidimh
falbhaibh
searmonaichibh
creutair
bhaistear
sabhailear
dhiteadh
nathraichean
olas
marbhtach
dean
cron
thogadh
daingneachadh
amen
